seqname	source	feature	start	end	score	strand	frame	gene_id	transcript_id
2	Ensembl	gene	25342430	25342590	.	-	.	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25313913	25314161	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25300139	25300243	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25282441	25282711	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25275500	25275543	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25274941	25275087	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25248037	25248252	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25247591	25247749	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25247051	25247158	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25246620	25246776	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25246160	25246309	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25246020	25246064	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25245253	25245332	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25244540	25244652	.	-	2	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25244155	25244338	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25243898	25243982	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25241562	25241707	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25240640	25240730	.	-	1	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25240302	25240450	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25239130	25239215	.	-	2	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25236936	25237005	.	-	0	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25235707	25235825	.	-	2	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25227855	25234420	.	-	.	ENSG00000119772	ENST00000264709
2	Ensembl	gene	25252194	25252311	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25249657	25249724	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25248037	25248252	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25247591	25247749	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25247051	25247158	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25246620	25246776	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25246160	25246309	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25246020	25246064	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25245253	25245332	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25244540	25244652	.	-	2	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25244155	25244338	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25243898	25243982	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25241562	25241707	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25240640	25240730	.	-	1	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25240302	25240450	.	-	0	ENSG00000119772	ENST00000380746
2	Ensembl	gene	25239130	25239215	.	-	2	ENSG00000119772	ENST00000380746
